ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
151,We Can Get Gangsta,Project Pat,Project Pat,2001,male,8,1,0,1,0,0,0,TRUE,FALSE
152,Woo Hah!! Got You All In Check,Busta Rhymes,Busta Rhymes,1996,male,8,1,0,1,0,0,0,TRUE,FALSE
153,Beat Bop,Rammellzee & K Rob,Rammellzee & K Rob,1983,male,6,2,0,0,0,1,1,TRUE,FALSE
154,I Get Around,2Pac,2Pac,1993,male,6,2,0,0,0,1,1,FALSE,FALSE
155,Party Life,JAY-Z,JAY-Z,2007,male,6,2,0,0,0,1,1,FALSE,FALSE
156,Where I’m From,JAY-Z,JAY-Z,1997,male,6,2,0,0,0,1,1,FALSE,FALSE
157,Act Too (Love of My Life),The Roots,The Roots,1999,male,6,1,0,0,1,0,0,TRUE,FALSE
158,America’s Most Blunted,Madvillain,Madvillain,2004,male,6,1,0,0,1,0,0,FALSE,TRUE
159,Atrevido,Orishas,Orishas,2000,male,6,1,0,0,1,0,0,TRUE,FALSE
160,Bonita Applebum,A Tribe Called Quest,A Tribe Called Quest,1990,male,6,1,0,0,1,0,0,FALSE,FALSE
161,Bout It Bout It,Master P,Master P,1996,male,6,1,0,0,1,0,0,TRUE,FALSE
162,Can’t Knock The Hustle,JAY-Z,JAY-Z,1996,male,6,1,0,0,1,0,0,FALSE,FALSE
163,Cartoons & Cereal,Kendrick Lamar ft. Gunplay,Kendrick Lamar ft. Gunplay,2012,male,6,1,0,0,1,0,0,TRUE,FALSE
164,Children’s Story,Slick Rick,Slick Rick,1999,male,6,1,0,0,1,0,0,FALSE,TRUE
165,Da Art Of Storytellin’,OutKast,OutKast,1999,male,6,1,0,0,1,0,0,FALSE,FALSE
166,Dr Aden,BOB,BOB,2011,male,6,1,0,0,1,0,0,TRUE,FALSE
167,Get Money,Junior M.A.F.I.A. ft. The Notorious B.I.G.,Junior M.A.F.I.A. ft. The Notorious B.I.G.,1995,male,6,1,0,0,1,0,0,TRUE,FALSE
168,Get The Bozack,EPMD,EPMD,1989,male,6,1,0,0,1,0,0,TRUE,FALSE
169,God Lives Through,A Tribe Called Quest,A Tribe Called Quest,1993,male,6,1,0,0,1,0,0,FALSE,FALSE
170,Hahahaha jk?,Das Racist,Das Racist,2010,male,6,1,0,0,1,0,0,TRUE,FALSE
171,Hard In Da Paint,Waka Flocka Flame,Waka Flocka Flame,2009,male,6,1,0,0,1,0,0,TRUE,FALSE
172,I Gave You Power,Nas,Nas,1996,male,6,1,0,0,1,0,0,FALSE,FALSE
173,Just A Moment,Nas ft. Quan,Nas ft. Quan,2005,male,6,1,0,0,1,0,0,TRUE,FALSE
174,Know The Ledge,Eric B & Rakim,Eric B & Rakim,1992,male,6,1,0,0,1,0,0,FALSE,FALSE
175,Learned from Texas,BIG K.R.I.T,BIG K.R.I.T,2019,male,6,1,0,0,1,0,0,TRUE,FALSE
176,Livin’ It Up,Ja Rule ft. Case,Ja Rule ft. Case,2001,male,6,1,0,0,1,0,0,TRUE,FALSE
177,Love Is…,Common,Common,2005,male,6,1,0,0,1,0,0,FALSE,FALSE
178,Lyrics Of Fury,Eric B & Rakim,Eric B & Rakim,1988,male,6,1,0,0,1,0,0,FALSE,FALSE
179,Mask Off,Future,Future,2017,male,6,1,0,0,1,0,0,FALSE,FALSE
180,Mass Appeal,Gang Starr,Gang Starr,1994,male,6,1,0,0,1,0,0,FALSE,FALSE
181,Mic Check,Aceyalone,Aceyalone,1995,male,6,1,0,0,1,0,0,TRUE,FALSE
182,Mo(u)rning,Akua Naru,Akua Naru,2012,female,6,1,0,0,1,0,0,TRUE,FALSE
183,No Church in the Wild,JAY-Z & Kanye West,JAY-Z & Kanye West,2011,male,6,1,0,0,1,0,0,TRUE,FALSE
184,Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,Lil Nas X ft. Billy Ray Cyrus,2019,male,6,1,0,0,1,0,0,TRUE,FALSE
185,OVERSEAS,Bohan Phoenix,Bohan Phoenix,2018,male,6,1,0,0,1,0,0,TRUE,FALSE
186,Paper Planes,M.I.A.,M.I.A.,2008,female,6,1,0,0,1,0,0,TRUE,FALSE
187,Peter Piper,Run DMC,Run DMC,1986,male,6,1,0,0,1,0,0,FALSE,FALSE
188,PRIDE,Kendrick Lamar,Kendrick Lamar,2017,male,6,1,0,0,1,0,0,FALSE,FALSE
189,Push It,Salt-N-Pepa,Salt-N-Pepa,1986,female,6,1,0,0,1,0,0,FALSE,TRUE
190,Put It On,Big L,Big L,1995,male,6,1,0,0,1,0,0,TRUE,FALSE
